canyon_id,road_id,width,avg_height,aspect_ratio,road_length,orientation_rad,lat,lon
57007,73868,15.0,50.333333333333336,3.355555555555556,396.37159949009526,3.129018121678205,45.48414069894499,9.189691892022879
36631,47089,15.0,50.333333333333336,3.355555555555556,396.37159949009526,-0.012574531911588,45.484140698945,9.18969189202288
57005,73866,15.0,50.333333333333336,3.355555555555556,361.55200684624793,-3.1328068982954536,45.4841139515013,9.189592434852688
104803,135839,15.0,88.0,5.866666666666666,56.52227045091556,1.3934019679180485,45.48399580153754,9.189491994000464
186104,229196,15.0,88.0,5.866666666666666,56.52227045091556,-1.7481906856717448,45.48399580153754,9.189491994000464
186012,229073,15.0,57.6,3.84,128.8819975393197,2.3720543848614293,45.48398767829124,9.189982425205443
186106,229198,15.0,57.6,3.84,128.8819975393197,-0.7695382687283642,45.48398767829126,9.189982425205441
93158,121036,15.0,126.0,8.4,37.408552678335965,2.6380211699554423,45.483779798760615,9.189596601384611
104802,135838,15.0,126.0,8.4,37.40855267833596,-0.503571483634351,45.483779798760615,9.18959660138461
56974,73830,15.0,50.0,3.333333333333333,291.19434402216456,0.1228551928898879,45.48408290904755,9.189401747753346
117011,149513,15.0,88.0,5.866666666666666,105.1998885878142,-2.9369493916276035,45.48423496573904,9.189999746194923
186107,229199,15.0,88.0,5.866666666666666,105.1998885878142,0.2046432619621895,45.484234965739034,9.189999746194923
61772,79955,15.0,100.66666666666669,6.711111111111111,114.28969223636054,0.1550576364295604,45.48378531422653,9.189355575842093
93161,121039,15.0,100.66666666666669,6.711111111111111,114.28969223636054,-2.9865350171602327,45.48378531422653,9.189355575842095
93171,121051,15.0,126.0,8.4,30.594312847372088,0.2044765792694592,45.48381105917907,9.189313362313849
104801,135837,15.0,126.0,8.4,30.594312847372088,-2.937116074320334,45.48381105917907,9.189313362313849
93160,121038,15.0,126.0,8.4,45.14939043544025,-2.416312082054876,45.48360786769592,9.189588506458781
93173,121055,15.0,126.0,8.4,45.14939043544025,0.725280571534918,45.48360786769592,9.189588506458781
242611,300803,15.0,88.0,5.866666666666666,98.623490084688,-0.5386502252879346,45.48436980654549,9.189314119802447
186105,229197,15.0,88.0,5.866666666666666,98.623490084688,2.6029424283018585,45.4843698065455,9.189314119802448
93169,121049,15.0,126.0,8.4,45.0637123761894,-1.1067024118451465,45.4836552,9.189273
93172,121052,15.0,126.0,8.4,45.0637123761894,2.034890241744647,45.4836552,9.189273
93159,121037,15.0,92.66666666666669,6.177777777777778,60.252667881957926,-1.5202801174920952,45.48353554772734,9.189799455126991
93165,121043,15.0,92.66666666666669,6.177777777777778,60.252667881957926,1.621312536097698,45.483535547727335,9.189799455126987
93179,121065,15.0,100.66666666666669,6.711111111111111,27.220200633469748,0.806768169052607,45.48372821830275,9.18909350174221
93170,121050,15.0,100.66666666666669,6.711111111111111,27.220200633469748,-2.334824484537186,45.483728218302765,9.189093501742212
153272,193622,15.0,65.2,4.346666666666667,124.85960126647336,-2.6076099774986514,45.48406913900047,9.188939617420315
