canyon_id,road_id,width,avg_height,aspect_ratio,road_length,orientation_rad,lat,lon
0,4849,15.0,16.27777777777778,1.0851851851851853,12.738751367129389,-0.583497028810829,45.48755000000433,9.20921525
1,4850,15.0,15.85,1.0566666666666666,12.054039155459217,2.111094284144933,45.48760465000941,9.209139650000001
2,4851,15.0,15.681818181818182,1.0454545454545454,14.071720153200848,0.950288196283859,45.48760815001153,9.209204249999999
3,4852,15.0,16.27777777777778,1.0851851851851853,12.639760983232724,2.8730862528941468,45.48757625414175,9.209113479279862
4,4918,15.0,22.08333333333333,1.472222222222222,13.718153712546677,-0.6086826318005196,45.48621830000542,9.20782435
5,4919,15.0,20.428571428571427,1.3619047619047615,12.630286865028202,0.9456334902394248,45.48627525000924,9.207807
6,5766,15.0,22.5,1.5,7.842040265214591,-2.211324225364825,45.48442530000349,9.205847949999999
7,5767,15.0,20.72222222222222,1.3814814814814815,32.92115589689392,0.9100281597937198,45.4845269503617,9.205959749445428
8,5768,15.0,19.26923076923077,1.2846153846153847,50.0304747153763,2.5125263870416914,45.48453778910541,9.20568728861909
9,5772,15.0,19.4375,1.2958333333333334,18.776991240735672,2.523818042104737,45.483331250010416,9.210719150000001
10,5773,15.0,19.4375,1.2958333333333334,8.696254297066869,-0.6239548163035085,45.48328100000228,9.2108196
11,5982,15.0,29.0,1.9333333333333331,21.73596301596552,-2.2313432745203787,45.48471655002593,9.206169899999999
12,5983,15.0,12.0,0.8,42.32042128590024,0.3054327321700533,45.48481444784703,9.206409072537893
13,5984,15.0,17.333333333333332,1.1555555555555554,55.47984580982158,0.9096975763892808,45.48490850811121,9.206382785434515
14,6511,15.0,14.3,0.9533333333333334,12.91448048725826,-2.1822701112093763,45.483484000008964,9.21031270000182
15,6512,15.0,14.3,0.9533333333333334,13.417432039257058,2.5230586049293664,45.48354180832012,9.210296908434533
16,6513,15.0,16.214285714285715,1.080952380952381,36.88865174175061,-0.6179197792595613,45.48344998185958,9.210481031601987
17,6516,15.0,15.11111111111111,1.0074074074074073,7.5364199505154525,-2.1919482961101924,45.483183700003295,9.2087674
18,6517,15.0,15.178571428571429,1.011904761904762,98.58098148379123,2.5015730733412886,45.48338840030506,9.20843195
19,8308,15.0,20.11111111111111,1.3407407407407408,16.02925063006854,1.7220742181991662,45.485058600022114,9.207920049999998
20,8309,15.0,23.857142857142858,1.5904761904761906,158.5721432405527,0.4352875279797243,45.48512338230376,9.208599302605993
21,8461,15.0,18.45833333333333,1.2305555555555554,48.236893476295975,2.523305319270463,45.483039453572566,9.211304353554693
22,9121,15.0,15.214285714285714,1.0142857142857142,14.514170489678962,1.725609302995735,45.48361150380056,9.210238296997275
23,9122,15.0,15.15,1.01,50.94380612709177,2.524758556090625,45.48365908393879,9.21006113369727
24,9123,15.0,14.3,0.9533333333333334,13.417432039257058,-0.6185340486604267,45.48354180832012,9.210296908434533
25,9124,15.0,15.416666666666666,1.0277777777777777,88.91697254539747,1.7611125855869094,45.48423855067096,9.210067749999999
26,9125,15.0,15.083333333333334,1.0055555555555555,197.14812146653253,-0.3498689548087507,45.483880585978866,9.210954132677108
27,9126,15.0,16.615384615384617,1.1076923076923078,86.78362398154621,-2.814894414648277,45.48338780543333,9.211350672163485
28,13618,15.0,16.125,1.075,12.579197615882157,-0.6195271067103778,45.48707020000469,9.210170799999998
29,13619,15.0,16.125,1.075,15.041176594212867,2.516908236799276,45.48712090000681,9.21007
30,13620,15.0,16.125,1.075,14.30052520184772,-2.20965165150164,45.4870570500116,9.210086499999997
31,13621,15.0,20.03333333333333,1.3355555555555556,115.43231720601668,2.517705925543861,45.48611155040024,9.208432499999999
32,13622,15.0,22.5,1.5,10.239545703606296,0.9379767017757152,45.485925146175184,9.208880604456944
33,13627,15.0,13.444444444444445,0.8962962962962963,8.695757464829144,-0.6128337374500368,45.4866612500022,9.209713549999998
34,13628,15.0,16.52777777777778,1.101851851851852,143.88600421555032,-2.212722043067696,45.486314101168944,9.209294649999999
35,13648,15.0,20.916666666666668,1.3944444444444446,10.79676874704226,0.9103473479139484,45.4846356500064,9.20608025
36,13649,15.0,20.72222222222222,1.3814814814814815,32.92115589689392,-2.231564493796073,45.4845269503617,9.205959749445428
37,13650,15.0,20.9375,1.3958333333333333,16.272662937454516,-0.6290392564070447,45.484578650752646,9.206109600772734
38,13651,15.0,22.928571428571427,1.5285714285714285,27.48746133425268,-2.941551384263419,45.485218500002624,9.2080054
39,13652,15.0,24.25,1.6166666666666667,74.05960913687161,-0.608430858021173,45.485650900157715,9.20898625
40,13653,15.0,24.2,1.6133333333333333,8.364673921242002,-2.1833408624256645,45.48576257265835,9.208691855771272
41,13654,15.0,13.6,0.9066666666666666,12.074092358542766,-2.158082415834475,45.48680455000889,9.20698475
42,13655,15.0,13.6,0.9066666666666666,8.862084575924873,2.5527057774751696,45.48685170000212,9.206981699999998
